Date,Country,avg_ELD,avg_Q,avg_Qb
2/1/04,Brunei,25.33778,71.68735,46.349567
2/1/04,Bulgaria,0.006483103,11.434414,22.391384
2/1/04,Burkina Faso,1.3114208,41.538376,48.89006
2/1/04,Burundi,13.156297,53.83536,40.679985
2/1/04,Cambodia,15.519398,63.10783,47.59442
2/1/04,Cameroon,9.820725,52.400513,46.24415
2/1/04,Canada,0,-18.862892,-1.4810486
2/1/04,Central African Republic,5.4919186,48.79786,47.772717
2/1/04,Chad,0.004193348,30.353468,42.576622
2/1/04,Chile,1.3658086,32.10178,33.76602
2/1/04,China,0.26443952,2.478579,16.079754
2/1/04,Colombia,18.120808,63.465588,45.393715
2/1/04,Costa Rica,17.204386,60.71338,43.52387
2/1/04,Croatia,0.002435935,12.884604,23.156363
2/1/04,Cuba,13.283788,57.781013,44.522076
2/1/04,Cyprus,0.13788001,27.511856,31.384607
2/1/04,Czechia,0,9.490349,20.779993
2/1/04,Democratic Republic of the Congo,21.350445,66.03775,44.8344
2/1/04,Denmark,0,12.247203,22.417389
2/1/04,Djibouti,9.032873,52.853764,44.38982
2/1/04,Dominican Republic,14.777695,57.702675,42.92585
2/1/04,East Timor,26.011242,71.40529,45.394047
2/1/04,Ecuador,17.06673,58.07547,41.04447
2/1/04,Egypt,0.08512232,26.950052,35.51832
2/1/04,El Salvador,13.444227,59.717197,46.27379
2/1/04,Equatorial Guinea,24.378174,69.692375,45.3142
2/1/04,Eritrea,7.2288313,50.22233,43.79342
2/1/04,Estonia,0,2.2429247,15.673204
2/1/04,Ethiopia,3.0210965,44.68321,43.974915
2/1/04,Falkland Islands,0.47209993,29.112093,31.957844
2/1/04,Fiji,27.056509,73.722275,46.665764
2/1/04,Finland,0,-4.241408,10.792034
2/1/04,France,2.1343079,20.279402,26.580698
2/1/04,French Southern and Antarctic Lands,0.000182124,16.662281,25.238708
2/1/04,Gabon,24.8963,70.89022,45.99393
2/1/04,Gambia,3.9189131,49.080032,47.05976
2/1/04,Georgia,0.001160098,6.305348,18.33902
2/1/04,Germany,5.31E-05,12.508035,22.699133
2/1/04,Ghana,15.121855,62.365288,49.447742
2/1/04,Greece,0.08271309,19.077929,26.887224
2/1/04,Greenland,0,-27.982355,-9.489599
2/1/04,Guatemala,13.400754,55.37675,41.994698
2/1/04,Guinea,8.538184,54.690575,48.147408
2/1/04,Guinea-Bissau,7.0232134,53.843582,48.013634
2/1/04,Guyana,19.018297,64.4796,45.461346
2/1/04,Haiti,15.210057,59.32977,44.12026
2/1/04,Honduras,14.897606,58.005253,43.111847
2/1/04,Hungary,0,10.280185,21.753384
2/1/04,Iceland,0,5.1750784,17.509525
2/1/04,India,3.3656688,40.017506,39.555035
2/1/04,Indonesia,25.4035,70.941055,45.53755
2/1/04,Iran,0.15263745,19.628477,29.945686
2/1/04,Iraq,0.076812856,24.48272,31.816147
2/1/04,Ireland,0.0626588,17.128443,25.317175
2/1/04,Israel,0.14725447,28.420559,32.85533
2/1/04,Italy,0.046529524,16.888113,25.299698
2/1/04,Ivory Coast,17.075706,64.46374,48.617325
2/1/04,Jamaica,16.723501,61.714153,44.992077
2/1/04,Japan,0.055716883,10.478931,22.200554
2/1/04,Jordan,0.004079768,22.622747,30.706741
2/1/04,Kazakhstan,7.36E-06,0.09842059,14.43301
2/1/04,Kenya,12.359683,59.51483,47.305622
2/1/04,Kosovo,0,10.864757,21.836027
2/1/04,Kuwait,0.3208913,28.514647,35.514103
2/1/04,Kyrgyzstan,9.45E-07,-3.4869013,11.127719
2/1/04,Laos,8.679751,48.69311,40.153645
2/1/04,Latvia,0,3.992851,16.88225
2/1/04,Lebanon,0.10082943,20.480165,26.978806
2/1/04,Lesotho,5.5925045,41.272808,35.801502
2/1/04,Liberia,23.931145,70.645805,46.76563
2/1/04,Libya,0.009842907,24.97877,35.00073
2/1/04,Lithuania,0,5.1016755,17.717941
2/1/04,Luxembourg,0,13.011174,22.73135
2/1/04,Madagascar,20.711332,65.45299,44.74199
2/1/04,Malawi,19.524584,62.59273,43.06815
2/1/04,Malaysia,23.043657,68.759125,45.71546
2/1/04,Mali,0.39945322,34.93614,45.795486
2/1/04,Mauritania,0.31046206,33.932423,43.039513
2/1/04,Mexico,2.958034,33.48219,35.590195
2/1/04,Moldova,8.46E-05,7.551326,19.663912
2/1/04,Mongolia,0,-9.457578,7.569002
2/1/04,Montenegro,0.00789219,10.5997095,21.113312
2/1/04,Morocco,0.5413797,28.377096,34.461975
2/1/04,Mozambique,21.872965,67.64858,45.775623
2/1/04,Myanmar,4.7553735,44.77967,41.123306
2/1/04,Namibia,9.036079,52.72447,44.60537
2/1/04,Nepal,1.6944892,20.81118,25.807959
2/1/04,Netherlands,0.001203881,16.35197,24.900791
2/1/04,New Caledonia,24.687494,72.12102,47.433525
2/1/04,New Zealand,2.8512192,34.640194,33.912354
2/1/04,Nicaragua,18.261505,63.68729,45.425884
2/1/04,Niger,0.001900603,28.339016,41.5303
2/1/04,Nigeria,5.6776237,45.897194,47.542427
2/1/04,North Korea,0.000312494,-0.40341893,14.499179
2/1/04,North Macedonia,0.001283903,11.313515,22.217745
2/1/04,Northern Cyprus,0.30143324,29.34464,32.639442
2/1/04,Norway,0,-5.647459,9.461123
2/1/04,Oman,1.5409105,39.6762,42.039608
2/1/04,Pakistan,0.8246853,26.191395,32.896015
2/1/04,Palestine,0.25224447,29.591637,32.86205
2/1/04,Panama,20.139545,65.790245,45.65202
2/1/04,Papua New Guinea,24.236065,68.61672,44.380657
2/1/04,Paraguay,16.150562,63.44525,47.29717
2/1/04,Peru,15.916929,55.349854,39.725796
2/1/04,Philippines,23.055925,68.35192,45.295994
2/1/04,Poland,0,8.950198,20.34315
2/1/04,Portugal,0.4105296,25.87165,30.089853
2/1/04,Puerto Rico,16.831213,60.98698,44.15577
2/1/04,Qatar,2.0821478,40.038445,39.464058
2/1/04,Republic of Serbia,2.43E-06,10.987482,21.858469
2/1/04,Republic of the Congo,23.509544,69.49034,45.994698
2/1/04,Romania,0.000674132,7.8005,19.780363
2/1/04,Russia,1.07E-05,-20.60893,-3.0288348
2/1/04,Rwanda,10.59422,51.007957,40.42506
2/1/04,Saudi Arabia,0.5513211,29.683563,37.648895
2/1/04,Senegal,2.2733412,46.342655,47.871487
2/1/04,Sierra Leone,18.501844,66.26283,48.1193
2/1/04,Slovakia,0,7.145307,19.29589
2/1/04,Slovenia,0,10.039288,21.305676
2/1/04,Solomon Islands,29.107615,76.04209,46.934475
2/1/04,Somalia,10.61325,57.840183,47.64012
2/1/04,Somaliland,5.173685,45.630054,42.10935
2/1/04,South Africa,9.146212,51.77355,43.28496
2/1/04,South Korea,0.055159852,9.218852,22.480328
2/1/04,South Sudan,1.9982387,45.913986,49.7715
2/1/04,Spain,0.0874255,20.33056,27.302353
2/1/04,Sri Lanka,19.491379,65.65541,46.165184
2/1/04,Sudan,0.5349973,32.348377,41.73217
2/1/04,Suriname,20.219645,66.43458,46.214935
2/1/04,Sweden,0,0.25421926,14.116483
2/1/04,Switzerland,0,3.981723,17.22008
2/1/04,Syria,0.019365147,21.863894,28.389914
2/1/04,Taiwan,4.062446,38.819374,35.299774
2/1/04,Tajikistan,0.000659266,-2.8818626,11.269566
2/1/04,Thailand,14.100702,59.067738,44.987263
2/1/04,The Bahamas,12.639829,55.40781,42.820816
2/1/04,Togo,12.874345,59.508156,48.924145
2/1/04,Trinidad and Tobago,20.342495,66.45521,46.11271
2/1/04,Tunisia,0.10322306,27.579662,33.486412
2/1/04,Turkey,0.011740365,10.328006,21.0587
2/1/04,Turkmenistan,0.003650794,19.411575,28.715933
2/1/04,Uganda,10.954915,55.540833,45.366745
2/1/04,Ukraine,3.31E-05,5.3186927,17.742468
2/1/04,United Arab Emirates,2.1881433,40.81473,40.584526
2/1/04,United Kingdom,0.019626455,16.299864,24.859505
2/1/04,United Republic of Tanzania,18.272383,61.817547,43.547894
2/1/04,United States of America,0.1288614,3.066055,16.01587
2/1/04,Uruguay,8.515603,51.191547,42.75079
2/1/04,Uzbekistan,6.23E-05,13.3702755,24.340656
2/1/04,Vanuatu,28.651604,75.72456,47.072956
2/1/04,Venezuela,17.491007,63.767483,46.280415
2/1/04,Vietnam,10.832055,50.90878,40.514557
2/1/04,Western Sahara,0.4106614,31.608469,39.307854
2/1/04,Yemen,3.121852,38.54897,40.811104
2/1/04,Zambia,18.612442,61.172047,42.559605
2/1/04,Zimbabwe,16.35813,60.04069,43.68594
2/1/04,eSwatini,17.169043,59.920296,42.751255
3/1/04,Afghanistan,0.027459074,19.566195,29.915152
3/1/04,Albania,0.021574834,19.536562,26.966919
3/1/04,Algeria,0.27687782,29.470057,39.472527
3/1/04,Angola,18.5778,61.365685,42.80263
3/1/04,Antarctica,0,-38.954414,-20.067108
3/1/04,Argentina,5.80035,42.604595,39.472614
3/1/04,Armenia,1.91E-05,11.065655,21.788418
3/1/04,Australia,7.603751,51.45936,46.02
3/1/04,Austria,0,9.346246,20.730934
3/1/04,Azerbaijan,0.06807717,19.545368,27.208199
3/1/04,Bangladesh,16.242878,63.127663,46.988327
3/1/04,Belarus,0,10.404329,21.388834
3/1/04,Belgium,0.001127633,17.039072,25.801907
3/1/04,Belize,19.696896,64.73538,45.038486
3/1/04,Benin,11.15882,57.20597,50.668385
3/1/04,Bhutan,2.5250065,25.704203,26.790531
3/1/04,Bolivia,19.074125,60.592793,42.117386
3/1/04,Bosnia and Herzegovina,0.001324923,14.784932,24.432953
3/1/04,Botswana,16.290684,59.865395,43.635685
3/1/04,Brazil,23.245602,68.757,45.514694
3/1/04,Brunei,26.81831,73.67781,46.859497
3/1/04,Bulgaria,0.002258491,17.827583,26.585016
3/1/04,Burkina Faso,3.259562,45.937386,51.04066
3/1/04,Burundi,14.884944,55.51477,40.62984
3/1/04,Cambodia,21.618664,71.59212,49.974396
3/1/04,Cameroon,13.411003,58.01254,47.45079
3/1/04,Canada,0.000204714,-16.060108,0.81131196
3/1/04,Central African Republic,8.614864,55.295223,50.02682
3/1/04,Chad,0.10456984,33.80995,46.285755
3/1/04,Chile,0.9941321,28.84176,32.151173
3/1/04,China,0.4542098,10.355882,22.022879
3/1/04,Colombia,21.774485,66.84549,45.077698
3/1/04,Costa Rica,17.77509,61.886406,44.11604
3/1/04,Croatia,0.003878978,16.637842,25.761385
3/1/04,Cuba,12.316671,56.78539,44.47072
3/1/04,Cyprus,0.35477668,30.487782,34.71955
3/1/04,Czechia,0,12.417719,22.831951
3/1/04,Democratic Republic of the Congo,23.884785,69.27301,45.398376
3/1/04,Denmark,0,14.056029,23.761312
3/1/04,Djibouti,9.68425,55.26427,46.658768
3/1/04,Dominican Republic,14.304274,57.484104,43.180515
3/1/04,East Timor,26.212883,71.88961,45.676727
3/1/04,Ecuador,18.767542,59.663094,40.90273
3/1/04,Egypt,0.23586628,32.771183,39.90935
3/1/04,El Salvador,12.685932,60.674397,47.991432
3/1/04,Equatorial Guinea,26.33984,71.877625,45.537777
3/1/04,Eritrea,6.52114,50.940952,46.774204
3/1/04,Estonia,0,7.8962646,19.716082
3/1/04,Ethiopia,3.94803,46.376694,45.44456
3/1/04,Falkland Islands,0.35249954,28.662033,31.611454
3/1/04,Fiji,26.882683,73.224754,46.342075
3/1/04,Finland,0,2.6062553,16.256474
3/1/04,France,2.3155737,22.846077,28.200567
3/1/04,French Southern and Antarctic Lands,0.009649341,18.124258,25.881912
3/1/04,Gabon,26.850313,73.12284,46.27253
3/1/04,Gambia,4.384009,50.864613,48.558876
3/1/04,Georgia,0.011411799,13.174855,22.990873
3/1/04,Germany,0.000321239,14.600262,24.3987
3/1/04,Ghana,18.226507,66.98825,50.1102
3/1/04,Greece,0.12030832,24.023233,29.606842
3/1/04,Greenland,0,-26.712076,-8.247657
3/1/04,Guatemala,14.151389,57.086845,42.964355
3/1/04,Guinea,12.647429,60.41304,49.18511
3/1/04,Guinea-Bissau,8.852265,57.394703,49.385365
3/1/04,Guyana,19.955122,65.63812,45.682995
3/1/04,Haiti,14.912257,59.033955,44.12185
3/1/04,Honduras,15.840946,59.243515,43.405815
3/1/04,Hungary,0.001089233,16.110577,25.549477
3/1/04,Iceland,0,10.066893,20.934147
3/1/04,India,5.8273726,48.796986,45.57847
3/1/04,Indonesia,26.19067,72.02898,45.83831
3/1/04,Iran,0.2409434,26.08587,34.94518
3/1/04,Iraq,0.11679871,29.997356,38.72646
3/1/04,Ireland,0.010639058,19.185892,26.796307
3/1/04,Israel,0.5907141,33.172825,36.686058
3/1/04,Italy,0.07258581,19.712194,27.086489
3/1/04,Ivory Coast,20.91777,69.26689,48.691235
3/1/04,Jamaica,17.378035,62.37617,44.998135
3/1/04,Japan,0.108330175,14.066455,24.56823
3/1/04,Jordan,0.024518305,27.656483,36.011917
3/1/04,Kazakhstan,0.000390306,5.872172,18.976227
3/1/04,Kenya,12.430581,60.148777,47.960728
3/1/04,Kosovo,0,16.06217,25.307657
3/1/04,Kuwait,0.0833075,33.53827,42.21818
3/1/04,Kyrgyzstan,0.000119018,3.7758253,16.363674
3/1/04,Laos,14.274973,58.319386,44.06173
3/1/04,Latvia,0,9.336846,20.712336
3/1/04,Lebanon,0.38146123,26.23426,31.602978
3/1/04,Lesotho,4.9054914,39.35527,34.665653
3/1/04,Liberia,25.89346,72.765465,46.896816
3/1/04,Libya,0.09429229,29.888906,39.004917
3/1/04,Lithuania,0,10.490445,21.489384
3/1/04,Luxembourg,0.000536239,15.039943,24.443197
3/1/04,Madagascar,20.644629,65.411835,44.76723
3/1/04,Malawi,19.684824,62.981365,43.296535
3/1/04,Malaysia,25.319902,71.490746,46.170845
3/1/04,Mali,0.8275386,37.81159,48.03084
3/1/04,Mauritania,0.4069631,35.486435,45.338684
3/1/04,Mexico,5.0711374,42.5379,39.989433
3/1/04,Moldova,5.15E-05,15.436523,25.416449
3/1/04,Mongolia,0,-4.0460434,12.341937
3/1/04,Montenegro,0.003813201,14.784055,24.035378
3/1/04,Morocco,0.5020049,30.229944,36.191864
3/1/04,Mozambique,22.318913,67.913864,45.594948
3/1/04,Myanmar,9.455199,54.759827,45.562195
3/1/04,Namibia,8.190202,50.58302,43.873055
3/1/04,Nepal,3.7360952,31.029753,32.175343
3/1/04,Netherlands,0.004186201,17.340668,25.934309
3/1/04,New Caledonia,22.198143,67.67134,45.473198
3/1/04,New Zealand,1.064895,30.985992,32.486893
3/1/04,Nicaragua,18.966684,64.90707,45.94125
3/1/04,Niger,0.042495765,31.257322,44.92163
3/1/04,Nigeria,8.298431,51.251717,49.604347
3/1/04,North Korea,4.20E-06,6.1907544,19.846416
3/1/04,North Macedonia,7.72E-05,17.056107,25.994972
3/1/04,Northern Cyprus,0.76366997,32.532993,35.602875
3/1/04,Norway,0,1.415806,15.195544
3/1/04,Oman,2.089018,41.94673,46.29444
3/1/04,Pakistan,1.738242,34.558723,39.834446
3/1/04,Palestine,0.8830639,34.213264,36.553535
3/1/04,Panama,20.542248,66.5328,45.990555
3/1/04,Papua New Guinea,24.668894,69.13856,44.469666
3/1/04,Paraguay,17.517767,64.696945,47.180664
3/1/04,Peru,16.678793,56.133213,39.71109
3/1/04,Philippines,25.505583,71.88223,46.376644
3/1/04,Poland,5.64E-06,13.552583,23.60399
3/1/04,Portugal,0.2165654,26.197989,31.026403
3/1/04,Puerto Rico,16.251818,60.42711,44.17529
3/1/04,Qatar,2.9386842,44.050064,43.437122
3/1/04,Republic of Serbia,0.000831714,16.784042,26.160326
3/1/04,Republic of the Congo,26.178514,72.76908,46.59058
3/1/04,Romania,0.000577611,15.190956,25.053621
3/1/04,Russia,0.000121142,-12.185542,4.3797545
3/1/04,Rwanda,13.132148,53.29319,40.16104
3/1/04,Saudi Arabia,0.60330147,33.8691,42.64005
3/1/04,Senegal,2.2756362,47.80374,49.808796
3/1/04,Sierra Leone,22.973635,71.05526,48.317757
3/1/04,Slovakia,0.000225328,12.869952,23.143263
3/1/04,Slovenia,0,13.511545,23.665026
3/1/04,Solomon Islands,28.60645,75.45713,46.850677
3/1/04,Somalia,12.193891,59.863907,48.490826
3/1/04,Somaliland,6.791862,48.007946,44.5042
3/1/04,South Africa,7.675928,47.349766,40.79287
3/1/04,South Korea,0.03537141,14.202234,26.131044
3/1/04,South Sudan,4.1935835,52.014435,52.21193
3/1/04,Spain,0.07856728,22.388538,28.798887
3/1/04,Sri Lanka,22.894878,70.41393,47.52
3/1/04,Sudan,0.4712632,36.30979,46.213737
3/1/04,Suriname,22.334026,68.3679,46.03387
3/1/04,Sweden,1.78E-07,4.6415305,17.6469
3/1/04,Switzerland,0,7.7723794,19.778143
3/1/04,Syria,0.31066003,27.449497,34.516888
3/1/04,Taiwan,7.73872,44.432453,37.027454
3/1/04,Tajikistan,0.009165942,3.3878696,15.705315
3/1/04,Thailand,18.748623,67.35313,48.61704
3/1/04,The Bahamas,9.130537,51.799328,42.747555
3/1/04,Togo,16.691233,64.76691,49.893745
3/1/04,Trinidad and Tobago,21.09606,67.64473,46.54867
3/1/04,Tunisia,0.974074,32.155334,35.375996
3/1/04,Turkey,0.043896314,16.773518,26.21983
3/1/04,Turkmenistan,0.018649947,23.818666,32.08939
3/1/04,Uganda,14.686184,60.312634,45.788315
